"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Aggressive Elimination",75,75,90,1,3.75,10.62,241.56
"Aggressive Elimination",75,90,60,0,2.5,5.23,213.22
"Aggressive Elimination",75,90,60,0,3.125,7.55,327.21
"Aggressive Elimination",75,90,60,0,3.75,12.3,554.46
"Aggressive Elimination",75,90,60,1,2.5,5.74,66.91
"Aggressive Elimination",75,90,60,1,3.125,9.24,122.38
"Aggressive Elimination",75,90,60,1,3.75,17.06,286.67
"Aggressive Elimination",75,90,75,0,2.5,4.23,193.86
"Aggressive Elimination",75,90,75,0,3.125,6.18,293.62
"Aggressive Elimination",75,90,75,0,3.75,9.59,473.14
"Aggressive Elimination",75,90,75,1,2.5,4.47,64.94
"Aggressive Elimination",75,90,75,1,3.125,7.01,116.88
"Aggressive Elimination",75,90,75,1,3.75,11.71,237.07
"Aggressive Elimination",75,90,90,0,2.5,3.39,153.82
"Aggressive Elimination",75,90,90,0,3.125,5.03,256
"Aggressive Elimination",75,90,90,0,3.75,8.11,431.32
"Aggressive Elimination",75,90,90,1,2.5,3.47,64.6
"Aggressive Elimination",75,90,90,1,3.125,5.43,109.98
"Aggressive Elimination",75,90,90,1,3.75,9.25,235.97
"Aggressive Elimination",90,50,60,0,2.5,5.76,240.97
"Aggressive Elimination",90,50,60,0,3.125,8.34,361.05
"Aggressive Elimination",90,50,60,0,3.75,12.92,574.14
"Aggressive Elimination",90,50,60,1,2.5,6.79,64.48
"Aggressive Elimination",90,50,60,1,3.125,11.18,117.23
"Aggressive Elimination",90,50,60,1,3.75,20.89,297.99
"Aggressive Elimination",90,50,75,0,2.5,4.77,223.37
"Aggressive Elimination",90,50,75,0,3.125,6.97,326.2
"Aggressive Elimination",90,50,75,0,3.75,10.82,517.54
"Aggressive Elimination",90,50,75,1,2.5,5.34,63.64
"Aggressive Elimination",90,50,75,1,3.125,8.34,110.62
"Aggressive Elimination",90,50,75,1,3.75,15.08,244.58
"Aggressive Elimination",90,50,90,0,2.5,3.87,203.38
"Aggressive Elimination",90,50,90,0,3.125,5.54,295.03
"Aggressive Elimination",90,50,90,0,3.75,8.81,468.57
"Aggressive Elimination",90,50,90,1,2.5,4.15,62.4
"Aggressive Elimination",90,50,90,1,3.125,6.21,103.36
"Aggressive Elimination",90,50,90,1,3.75,11.03,212.33
"Aggressive Elimination",90,75,60,0,2.5,5.27,223.07
"Aggressive Elimination",90,75,60,0,3.125,7.7,331.75
"Aggressive Elimination",90,75,60,0,3.75,12.02,547.46
"Aggressive Elimination",90,75,60,1,2.5,5.96,64.03
"Aggressive Elimination",90,75,60,1,3.125,9.55,116
